survey,journal,year,title,author,cited,elibrary_id,surveys_used
ВНДН,Социологические исследования,2012,"""""русская мечта"""": опыт социологического измерения",Горшков М.К.,95,18147194,ВНДН
ВНДН,Социальные и гуманитарные науки. Отечественная и зарубежная литература. Серия 2: Экономика. Реферативный журнал,2012,"2012.04.050. де нэвэс у., проктор б., смит дж. бедность в сша. de navas w., proctor b., smith j. poverty in the us // income, poverty and health insurance coverage in the us: 2010: current population reports. - mode of access: http://www.census.gov/prod/2011 pubs/p60-239.pdf",Луцкая Е.Е.,0,17995547,ВНДН
ВНДН,Social-Economic Phenomena and Processes,2012,assessment methodology of the social and economic efficiency of small entrepreneurship in the region,Kireyev N.N.,0,19018279,ВНДН
ВНДН,"The Review of Economy, the Law and Sociology ",2012,modern peculiarities of regulation of cash circulation,Ulyanova L.A.,0,18810220,ВНДН
ВНДН,Историческая демография,2012,аборты в городах и городских поселениях урала в 1920–1930-х гг,Журавлева В.А.,2,25819528,ВНДН
ВНДН,Проблемы права,2012,административная правосубъектность коммерческих банков как форма проявления косвенных (опосредованных) правовых конструкций в государственном управлении,"Асадов А.М., Бахрах Д.Н.",0,17333456,ВНДН
ВНДН,Пробелы в российском законодательстве,2012,актуальные проблемы правового обеспечения накопления конфиденциальной информации о гражданах в области социальной защиты и обязательного социального страхования,Рыжов Р.С.,2,17326901,ВНДН
ВНДН,Проблемы прогнозирования,2012,альтернативные методы мониторинга динамики промышленного производства,"Порохова Н.В., Рудаков Е.Н., Саакян Ю.З.",2,18201755,ВНДН
ВНДН,Имущественные отношения в Российской Федерации,2012,анализ состава арендной ставки на примере оценки офисных помещений с использованием доходного подхода,Вольнова В.А.,0,18240883,ВНДН
ВНДН,Вопросы наркологии,2012,"аналитический обзор результатов научно-исследовательских работ, выполненных в рамках комплексной проблемы """"наркология"""", координируемых научным советом по наркологии рамн за 2011 г","Анохина И.П., Кошкина Е.А., Борисова Е.В., Дробышева В.Я.",2,17897720,ВНДН
ВНДН,Экономическая среда,2012,банковский аудит,"Ханенко М.Е., Васильева К.С.",0,25925961,ВНДН
ВНДН,Вестник Северо-Кавказского гуманитарного института,2012,бизнес-моделирование как механизм реализации инвестиционных проектов,Буниатова А.Р.,3,18374453,ВНДН
ВНДН,Финансовая аналитика: проблемы и решения,2012,вероятность дефолта банка и ее моделирование,"Карминский А.М., Костров А.В., Мурзенков Т.Н.",9,18043109,ВНДН
ВНДН,Экономическая среда,2012,виды и методы маркетинговых исследований,"Лыгина Н.И., Скворцова Н.А., Городенская А.Г.",1,25925979,ВНДН
