year,median_income,mean_income,benford,generalized_benford,fstat_medianincome,fstat_meanincome,fstat_benford,fstat_generalized_benford,count_ssu_breakyear_medianincome,count_ssu_breakyear_meanincome,count_ssu_breakyear_benford_unconditional,count_ssu_breakyear_generalized_benford_unconditional,count_ssu_breakyear_benford_conditional,count_ssu_breakyear_generalized_benford_conditional,count_ssu
2001,8.09422580817193,8.54774730720018,0.9999,0.9997,14.4845940875449,17.8678572851619,7.82071979100997,4.52280357979631,,,3,3,,,41
2002,8.38935981990635,8.76863180210632,0.9986,1,24.0778099824602,33.5955694885839,15.6403613714067,8.1320088816588,,4,1,,,,41
2003,8.63052187672324,10.0764735371197,0.9998,1,35.9234261856158,21.5469818807794,31.3987490395243,13.5287231949086,,,3,6,,,43
2004,8.77377151881668,9.21490737913764,0,0,53.4207513646895,31.6547058904989,15.0103771489242,6.83476390441547,1,2,2,1,,,43
2005,9.10497985631836,9.4476241560851,1,1,66.0862651746302,41.532634922571,31.2996804275179,11.8470733132192,4,4,,2,,,43
2006,9.30565055178051,9.70396698720388,0.97,1,74.3364851563116,47.0974311015737,81.0774757290765,20.4093201241783,15,7,1,,,,43
2007,9.51856009564551,9.82244391128809,0.0246,1,73.8433057519851,51.4295860036464,39.8571635117213,38.0672214917793,17,16,1,1,,,43
2008,9.7981270368783,10.1248217671673,0.0121,0.2,61.4090157549213,46.0005254071338,24.9277678219561,27.6489515782833,3,4,4,2,10,12,43
2009,9.85219425814858,10.1670389283884,0.1985,1,53.2702682327797,42.3113796997771,21.4520376846394,60.6471594097831,3,4,6,4,2,5,43
2010,10.0212705881925,10.3272630319696,0,0,43.7214940724577,36.4279841202774,15.4613841121508,34.7509890105617,,1,2,1,8,2,43
2011,10.1266311038503,10.4111696377713,0,0,35.728219759565,31.1628187069065,11.6248193437468,23.0959884145108,,1,2,4,7,7,43
2012,10.2548484016511,10.5274561582596,0,0,28.5777819134344,25.8841914792459,8.9575605139308,16.4681578426554,,,2,1,2,7,43
2013,10.3513733765282,10.6464787753236,0,0,22.7283016222375,20.8380983591397,6.99572760396072,12.1919544619514,,,2,5,14,10,43
2014,10.4631033404715,10.7095327906795,0,0,17.7142430831394,16.7507576573678,5.49215320812709,9.20438443371698,,,5,4,,,43
2015,10.4912742174382,10.7917993209588,0,0,14.0289312621091,13.1970391653187,4.30306428305797,6.99922812124269,,,2,2,,,43
2016,10.5661755256114,10.8145071691869,0,0,10.909468073699,10.4662927435967,3.33913632445087,5.30471355944608,,,2,,,,43
2017,10.5966347330961,10.9454938406349,0,0,8.44599910803928,7.72341244928202,2.54194728540029,3.96187463466432,,,1,2,,,43
2018,10.6454248972655,10.9276837186901,0,0,6.36522498076257,5.72588113144612,1.87167772186846,2.87152488745893,,,1,2,,,43
2019,10.7132170481759,10.9409282503266,0,0,4.50738547520015,4.11449746817242,1.30025249966587,1.96857191409213,,,1,2,,,43
2020,10.7298535768823,10.9439232509102,0,0,2.99655371170063,2.82545303407908,0.807308309026926,1.20852738275584,,,2,1,,,42
