survey,year,level,1,2,3,4,5,6,7,8,9
ВНДН,2022,Дом-ва,0.227,0.178,0.133,0.121,0.098,0.082,0.065,0.055,0.042
ВНДН,2022,Инд.,0.156,0.197,0.192,0.163,0.089,0.086,0.042,0.043,0.032
ВОДПФ,2022,Дом-ва,0.244,0.15,0.142,0.118,0.1,0.083,0.068,0.056,0.038
ВОДПФ,2022,Инд.,0.305,0.282,0.166,0.1,0.059,0.034,0.024,0.017,0.012
РМЭЗ,2022,Дом-ва,0.238,0.148,0.121,0.112,0.103,0.097,0.076,0.061,0.044
РМЭЗ,2022,Инд.,0.261,0.272,0.182,0.106,0.07,0.047,0.029,0.02,0.013
ФИНМОН,2018,Дом-ва,0.209,0.193,0.183,0.142,0.097,0.058,0.055,0.041,0.022
RCVS,2021,Дом-ва,0.218,0.167,0.171,0.117,0.128,0.077,0.056,0.044,0.021
SIPP,2022,Дом-ва,0.295,0.153,0.118,0.099,0.083,0.071,0.069,0.065,0.047
SIPP,2022,Инд.,0.267,0.18,0.143,0.108,0.083,0.065,0.056,0.059,0.039
EUSILC,2013,Дом-ва,0.261,0.17,0.14,0.112,0.089,0.074,0.061,0.051,0.043
EUSILC,2013,Инд.,0.268,0.2,0.152,0.11,0.08,0.06,0.049,0.043,0.038
