survey,year,level,N,Missing,Mean,Median,SD,Min,Pctl_25,Pctl_75,Max
ВНДН,2022,Дом-ва,160008,0,648130,510092,491736,300,307073,832164,14788366
ВНДН,2022,Инд.,339720,0,187863,0,294062,0,0,343678,7071085
ВОДПФ,2022,Дом-ва,4834,1247,63251,50000,51308,0,30000,80000,780000
ВОДПФ,2022,Инд.,10704,1458,29657,24430,29568,0,15700,36000,1039000
РМЭЗ,2022,Дом-ва,6475,244,68917,55100,59780,0,33000,85025,1304200
РМЭЗ,2022,Инд.,13943,3400,30810,25000,35940,0,15548,40000,1700000
ФИНМОН,2018,Дом-ва,920,710,41120,35000,29727,2000,22000,50000,350000
RCVS,2021,Дом-ва,8602,5829,53734,40000,47292,1200,25000,60000,300000
SIPP,2022,Дом-ва,124997,0,8223,5156,11754,-69674,2336,9885,327458
SIPP,2022,Инд.,240202,48252,4279,2453,7847,-69674,765,5074,219135
EUSILC,2013,Дом-ва,184610,1,36042,25087,38257,-395819,10372,49500,1152186
EUSILC,2013,Инд.,371379,0,10391,196,20216,-92230,0,13708,1232004
