year,ssus,ssus_benford,households,households_benford,new_households,iqr_interview_span,median_interview_duration,sd_realincome
1994,157,37,3861,2867,3861,12,50,58525
1995,157,37,3647,2690,438,11,45,42082
1996,156,37,3594,2634,285,15,50,42960
1998,154,41,3720,2793,394,16,50,781931
2000,152,46,3887,2974,320,17,46,33023
2001,152,44,4307,3347,562,20,43,48139
2002,151,49,4512,3589,298,20,45,49791
2003,152,50,4604,3685,300,22,45,560572
2004,152,52,4711,3818,293,20,45,90167
2005,152,49,4370,3475,130,21,45,62242
2006,157,67,5258,4454,1142,22,45,115622
2007,157,67,5094,4328,310,22,41.5,55534
2008,156,66,5018,4271,273,21,45,101414
2009,156,63,5017,4228,169,23,40,102335
2010,156,107,7510,7087,2617,33,46,95379
2011,158,109,7728,7351,1016,32,40,79767
2012,158,105,8072,7608,955,29,45,68790
2013,158,102,7822,7358,579,32,50,138807
2014,158,85,6540,5948,194,23,40,102554
2015,160,80,6639,5928,275,29,43,212775
2016,159,82,6767,6103,206,27,42,86044
2017,160,79,6830,6130,249,33,43,459282
2018,159,85,6671,6049,244,34,45,161389
2019,159,87,6649,6047,217,33,45,81920
2020,158,83,6520,5922,318,37,40,68345
2021,158,85,6536,5927,258,36,42.5,101972
2022,157,85,6475,5908,380,36,45,59780
